country_alt_name,country
Islamic Republic of Afghanistan,afg
Åland Island,ala
Neth. Antilles,ant
UAE,are
Bahrein,bhr
"Bahamas, The",bhs
The Bahamas,bhs
Bosnia & Herzegovina,bih
Bosnia Herzegovena,bih
Bosnia and H.,bih
Bosnia,bih
Bolivia (Plurinational State of),bol
Bolivia Plurinational States of,bol
PLURINATIONAL STATE OF BOLIVIA,bol
Brunei Darussalam,brn
Central AfR,caf
Cen African Rep,caf
China (Mainland),chn
"China, mainland",chn
Côte d'Ivoire,civ
Côte d'Ivoire,civ
Ivory Coast,civ
Cote Divoire,civ
Cote d`Ivoire,civ
Congo (Democratic Republic of the),cod
Congo Dem Rep,cod
Democratic Republic of Congo,cod
Democratic Republic Of The Congo,cod
Democratic Republic of the Congo,cod
Congo/Zaire,cod
Republic of Congo,cog
Congo - Brazzaville,cog
Republic of the Congo,cog
Congo (Republic of),cog
Congo Brazzaville,cog
Congo-Brz,cog
Cook Is,cok
Comores,com
Cabo Verde,cpv
Czechia,cze
Czech Republic,cze
Czech Rep,cze
Dominican Rep,dom
Dominican Republic,dom
DominicanRep,dom
Dom.R.,dom
"Egypt, Arab Rep.",egy
Falkland Islands,flk
Falkland Is (Malvinas),flk
Faroe Islands,fro
Micronesia (Federated States of,fsm
Micronesia,fsm
Federated States of Micronesia,fsm
Micronesia (Fed. States of),fsm
"Micronesia, Federated States of",fsm
"Micronesia, Fed. Sts.",fsm
UKG,gbr
U.K. of Great Britain and Northern Ireland,gbr
United Kingdom of Great Britain and Northern Ireland,gbr
UK,gbr
Gambia The,gmb
"Gambia, The",gmb
The Gambia,gmb
GuineaBiss,gnb
Guinea Bissau,gnb
Germany East,deu_east
Equa Guinea,gnq
Guyana (Fr.),guf
Hong Kong SAR,hkg
"Hong Kong, China (SAR)",hkg
"Hong Kong SAR, China",hkg
Hongkong,hkg
Hong Kong,hkg
Vatican City State,hos
Iran (Islamic Rep. of),irn
Islamic Republic of Iran,irn
"Iran, Islamic Rep.",irn
"Iran, Islamic Rep. of",irn
JAPAN (EXCLUDING THE RUYUKU ISLANDS),jpn
Kyrgyz,kgz
Kyrgyzstan,kgz
Kyrgyz Republic,kgz
St. Kitts and Nevis,kna
St Kitts and Nevis,kna
Saint Kitts and Nevis,kna
Saint Kitts & Nevis,kna
Korea (Rep. of),kor
"Korea, South",kor
Korea (Republic of),kor
"Korea, Rep. of",kor
United Korea (former),korea_union
United Korea,korea_union
Korea North,prk
Korea South,kor
Lao People's Dem.  Rep.,lao
Lao People’s Democratic Republic,lao
Lao P.D.R.,lao
Lao PDR,lao
Lao,lao
Libyan Arab Jamahiriya,lby
Saint Lucia,lca
St Lucia,lca
St. Lucia,lca
St.Lucia,lca
Macau,mac
"China, Macao SAR",mac
MACAU SPECIAL ADMINISTRATIVE REGION OF CHINA,mac
Macao,mac
"Moldova, Rep. of",mda
"Moldova, Republic of",mda
Republic of Moldova,mda
Moldova (Republic of),mda
The former Yugoslav Republic of Macedonia,mkd
Macedonia,mkd
TFYR Macedonia,mkd
"Macedonia, FYR",mkd
T.F.Y.R. Macedonia,mkd
Myanmar [Burma],mmr
MYANMAR (FORMERLY BURMA),mmr
Myanmar/Burma,mmr
Burma,mmr
The Netherlands,nld
Curacao,nld_curacao
Pitcairn Islands,pcn
Papua NG,png
Democratic People's Republic of Korea,prk
"Korea, Democratic Republic of",prk
Dem. People's Rep. of Korea,prk
"Korea, North",prk
State of Palestine,pse
OPT,pse
Palestinian territories,pse
Occupied Palestinian Territory,pse
Réunion,reu
Reunion,reu
Russian Federation,rus
Russian Federation,rus
Republic of Sudan,sdn
Republic Of Sudan,sdn
Svalbard and Jan Mayen,sjm
Solomon Isl.,slb
SierraLeo,sle
Saint Pierre and Miquelon,spm
Sudan South,ssd
South Sudan,ssd
St. Barthelemy,stbar
Saint Barthelemy,stbar
São Tomé and Principe,stp
São Tomé and Príncipe,stp
Slovak Rep.,svk
Slovakia,svk
Slovak Rep,svk
Syrian Arab Republic,syr
Kingdom of Eswatini,swz
Turks and Caicos,tca
Dem. Republic of Timor-Leste,tls
East Timor,tls
Timor Leste,tls
"Timor, East",tls
Trinidad & Tobago,tto
Trinidad,tto
Taiwan Province of China,twn
"China, Taiwan Province of",twn
"Tanzania, U. Rep. of",tza
Tanzania (United Republic of),tza
United Republic of Tanzania,tza
U.S.A.,usa
U.S.,usa
United States of America,usa
USA,usa
U.S.S.R.,ussr
Soviet Union,ussr
St. Vincent and the Grenadines,vct
St Vincent,vct
St Vincent & the Grenadines,vct
St. Vincent and G.,vct
Saint Vincent and the Grenadines,vct
Venezuela (Bolivarian Republic of),ven
Venezuela (Bolivarian Republic of,ven
"Venezuela, RB",ven
United States Virgin Islands,vir
Viet Nam,vnm
Wallis and Futuna,wlf
Wallis and Futuna Islands,wlf
Samoa (Western),wsm
Yemen Republic,yem
Yemen South,yem_south
Yugoslav SFR,yug
South Africa Republic,zaf
Vietnam South,viet_south
