"Invånare per kvadratkilometer efter region och vart 5:e år"

"region","1960","1965","1970","1975","1980","1990","1995","2000","2005","2010","2015","2016","2017","2018"
"TX006 Alby (Botkyrka kommun)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"T0114 Arninge (Täby kommun)",..,..,..,..,..,..,..,..,..,..,229,379,456,471
"T0102 Bammarboda (Österåker kommun)",..,..,..,..,..,..,..,..,260,314,210,212,210,215
"T0100 Bergshamra (Norrtälje kommun)",..,..,..,..,..,394,392,416,476,469,225,228,235,234
"T0122 Betsede (Värmdö kommun)",..,..,..,..,..,..,..,..,..,..,506,525,572,533
"T0106 Björnömalmen och Klacknäset (Värmdö kommun)",..,..,..,..,..,..,..,..,452,496,..,..,..,..
"T0126 Blidö (Norrtälje kommun)",..,..,..,..,..,..,..,..,..,..,54,52,49,49
"TX008 Bollmora/Tyresö (Tyresö kommun)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"TX010 Bollstanäs (Upplands Väsby kommun)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"T0104 Boo (Nacka kommun)",..,..,..,..,..,1092,1156,1249,1339,1479,..,..,..,..
"T0108 Brevik (Lidingö kommun)",..,..,..,..,..,1586,1676,1777,2026,2211,..,..,..,..
"T0110 Brevikshalvön (Tyresö kommun)",..,..,..,..,..,..,202,259,303,337,..,..,..,..
"T0112 Bro (Upplands-Bro kommun)",..,..,..,..,..,2580,2207,2367,2433,2344,2272,2329,2374,2422
"T0116 Brottby (Vallentuna kommun)",..,..,..,..,..,1265,1280,1229,..,1152,604,571,676,708
"T0120 Brunn (Värmdö kommun)",..,..,..,..,..,1020,1021,1056,994,986,595,625,642,641
"T0124 Brunna (Upplands-Bro kommun)",..,..,..,..,..,2519,2482,2362,2213,2213,1761,1753,1764,1778
"T0132 Dalarö (Haninge kommun)",..,..,..,..,..,461,580,700,713,716,301,294,295,302
"T0136 Djurö (Värmdö kommun)",..,..,..,..,..,1117,1056,1107,1038,1047,230,231,230,232
"T0140 Drottningholm (Ekerö kommun)",..,..,..,..,..,273,290,290,279,271,748,750,782,796
"T0144 Edsbro (Norrtälje kommun)",..,..,..,..,..,649,628,637,625,593,382,381,379,394
"T0148 Ekeby (Södertälje kommun)",..,..,..,..,..,2015,1879,1804,1704,1755,1503,1471,1472,1489
"T0152 Ekeby (Upplands Väsby kommun)",..,..,..,..,..,..,..,..,763,891,..,..,..,..
"T0151 Ekerö sommarstad (Ekerö kommun)",..,..,..,..,..,1096,1236,1235,1482,1444,653,650,634,655
"T0150 Ekerö (Ekerö kommun)",..,..,..,..,..,1768,1896,1943,1992,2013,1929,1943,1933,1998
"T0146 Ekskogen (Vallentuna kommun)",..,..,..,..,..,..,..,..,..,..,459,461,483,477
"T0142 Ekskogen, Älgeby och Långsjötorp (Vallentuna kommun)",..,..,..,..,..,..,..,..,..,..,155,158,159,163
"T0158 Finkarby (Nykvarn kommun)",..,..,..,..,..,..,..,370,409,402,387,382,356,370
"T0164 Finsta (Norrtälje kommun)",..,..,..,..,..,..,..,..,..,675,542,573,610,584
"T0156 Fisksätra (Nacka kommun)",..,..,..,..,..,6936,6827,7044,6636,7227,8363,8320,8505,8592
"TX002 Fittja (Botkyrka kommun)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"TX012 Flemingsberg (Huddinge kommun)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"T0160 Frestaby (Upplands Väsby kommun)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"T0162 Fruvik (Värmdö kommun)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"T0166 Fågelvikshöjden (Värmdö kommun)",..,..,..,..,..,..,..,1861,2074,2132,397,398,401,390
"T0430 Gansta och Söderby (Haninge kommun)",..,..,..,..,..,..,..,..,..,..,192,193,203,217
