"Levande födda efter region, moderns ålder, kön och år"

"region","moderns ålder","kön","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"00 Riket","-14 år","män",4,4,5,3,4,1,3,5,1,1,3,2,2,3,0,1,1,0,7,1,2,1,1,3,2,2,1,1,2,1,1,3,3,3,1,1,1,1,1,2,1,1,3,0,1,1,2,2,2,1,2
"00 Riket","-14 år","kvinnor",1,2,3,6,3,4,3,2,2,3,4,4,6,1,5,0,0,3,1,1,2,0,2,2,3,1,1,1,0,0,0,2,1,0,1,1,2,1,0,2,2,1,2,3,1,2,0,0,4,0,1
"00 Riket","15 år","män",30,19,29,40,26,25,17,22,15,21,18,14,17,14,10,9,10,7,8,8,6,8,11,9,9,8,3,11,8,5,8,5,6,7,1,7,11,11,9,9,4,7,4,8,6,3,5,4,6,8,6
"00 Riket","15 år","kvinnor",20,25,26,32,21,26,17,14,16,19,17,13,15,13,9,7,3,7,9,8,7,4,13,7,8,6,9,9,4,6,6,6,11,9,9,3,8,7,4,8,8,3,5,1,3,7,8,2,5,4,2
"00 Riket","16 år","män",175,146,169,172,171,150,136,132,90,76,64,71,60,58,47,39,22,30,28,26,42,46,45,45,50,31,28,34,31,33,26,27,21,34,25,24,27,33,27,28,22,24,27,24,20,26,20,13,18,17,15
"00 Riket","16 år","kvinnor",156,126,179,138,149,124,106,107,74,79,57,45,45,33,41,34,21,19,35,30,34,43,40,45,32,27,22,27,27,29,20,18,20,26,23,27,30,30,31,43,33,28,28,22,20,20,16,17,23,23,24
"00 Riket","17 år","män",648,550,555,532,556,497,442,374,315,262,207,211,197,194,178,108,103,101,116,126,139,141,158,122,129,110,120,98,80,87,73,93,87,79,109,96,100,72,85,76,79,88,98,68,58,58,44,53,63,50,39
"00 Riket","17 år","kvinnor",680,486,577,552,516,484,450,369,297,239,225,219,189,191,153,134,91,109,92,115,98,132,136,125,130,111,78,71,90,93,70,57,94,67,86,81,66,85,81,83,74,84,59,72,59,54,45,49,45,48,38
"00 Riket","18 år","män",1428,1166,1108,1099,1047,1006,974,826,718,601,538,456,441,426,392,335,287,277,297,249,272,324,366,340,302,263,207,210,190,161,176,148,177,152,170,184,175,159,188,180,184,188,179,153,131,132,129,101,93,109,114
"00 Riket","18 år","kvinnor",1371,1110,1089,1108,998,954,906,831,680,569,504,480,442,421,370,308,270,284,258,236,274,316,356,336,273,236,201,178,180,173,156,149,151,160,164,163,149,149,172,166,170,153,141,135,151,148,115,109,87,90,92
"00 Riket","19 år","män",2202,1852,1704,1780,1729,1494,1653,1494,1280,1157,1023,944,926,836,755,750,687,690,720,633,633,750,772,753,641,609,505,442,368,319,328,324,347,361,328,286,293,361,374,355,391,375,399,407,291,264,288,213,235,239,231
"00 Riket","19 år","kvinnor",2056,1693,1627,1688,1587,1438,1580,1422,1226,1087,948,915,807,775,739,709,620,595,621,603,606,691,791,679,591,550,501,410,369,319,282,378,320,294,308,255,314,305,265,321,339,349,317,315,299,242,221,222,213,219,229
"00 Riket","20 år","män",2943,2604,2442,2463,2340,2253,2289,2083,1997,1805,1611,1462,1488,1264,1336,1181,1228,1231,1186,1188,1203,1225,1352,1273,1209,1008,931,781,677,619,523,521,601,561,561,535,535,589,630,623,679,672,692,637,587,557,489,468,427,447,444
"00 Riket","20 år","kvinnor",2935,2398,2221,2241,2208,2168,2160,1967,1889,1698,1495,1375,1314,1267,1248,1111,1088,1157,1153,1149,1172,1156,1293,1240,1063,993,841,736,636,550,502,543,549,509,522,528,512,557,590,594,615,660,655,603,575,537,461,462,433,375,383
