"Nettoinkomst, medelinkomst för boende i Sverige hela året, tkr efter region, kön, ålder och år"

"region","kön","ålder","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00 Riket","män","16 år",8.8,8.9,8.5,7.5,7.3,7.1,8.1,8.8,8.2,7.3,7.7,8.2,8.1,7.7,7.8,8.4,8.6,9.1
"00 Riket","män","17 år",18.3,19.3,18.5,18.8,17.4,17.0,18.8,20.1,19.5,17.5,18.2,18.6,18.9,18.3,19.3,19.6,20.2,21.1
"00 Riket","män","18 år",25.3,25.6,25.2,27.3,26.1,24.8,27.2,30.3,29.6,25.3,26.4,27.9,27.2,27.1,28.2,30.5,32.1,34.1
"00 Riket","män","19 år",43.5,42.3,43.2,45.3,45.2,46.3,51.2,60.5,59.0,48.0,53.8,57.7,55.3,55.3,58.0,65.3,70.6,74.3
"00 Riket","män","20 år",72.2,73.9,75.0,77.9,77.7,80.8,87.2,97.7,98.4,87.2,89.6,101.7,100.8,97.8,103.3,112.2,121.0,127.5
"00 Riket","män","21 år",93.7,94.6,97.0,99.8,99.8,101.7,110.6,120.8,123.1,112.1,114.3,124.1,125.7,123.7,126.6,136.2,143.5,151.2
"00 Riket","män","22 år",104.2,104.4,107.1,110.7,110.7,113.2,120.1,135.3,137.3,128.4,131.3,138.9,142.5,141.4,145.5,153.3,159.7,166.0
"00 Riket","män","23 år",112.4,112.6,114.9,118.5,119.1,121.6,128.4,141.7,148.5,140.8,143.6,152.0,154.9,156.3,160.6,167.4,172.1,179.1
"00 Riket","män","24 år",120.3,120.6,124.4,125.2,126.9,129.6,136.3,149.8,154.8,153.4,154.9,162.7,166.8,168.0,176.5,181.0,186.4,191.5
"00 Riket","män","25 år",129.7,128.5,132.4,134.3,134.6,138.0,145.9,158.6,165.0,160.6,169.5,174.6,178.8,181.0,188.1,195.9,201.1,205.9
"00 Riket","män","26 år",151.6,139.7,141.5,142.7,144.5,147.1,155.6,170.7,175.3,172.6,176.9,189.4,190.6,192.5,200.9,209.5,215.9,220.9
"00 Riket","män","27 år",149.8,148.2,152.5,152.0,152.6,157.5,165.1,181.0,186.5,183.7,188.7,195.9,205.2,204.9,213.7,222.2,228.6,236.1
"00 Riket","män","28 år",157.2,155.4,160.9,163.2,162.0,165.4,175.3,191.5,197.3,194.9,199.9,207.5,211.9,220.0,225.6,234.3,241.4,245.9
"00 Riket","män","29 år",160.9,165.6,166.8,167.8,170.9,176.1,182.4,201.4,206.2,204.9,211.2,219.3,222.3,226.5,241.0,244.9,252.4,259.5
"00 Riket","män","30 år",164.6,166.3,173.4,174.0,178.8,184.0,191.8,209.2,214.5,215.0,221.6,231.6,232.4,235.9,247.0,259.9,262.3,269.2
"00 Riket","män","31 år",168.4,169.3,178.3,185.4,186.3,192.5,202.0,218.1,221.0,223.1,231.4,238.7,243.9,246.2,257.8,266.2,275.7,277.2
"00 Riket","män","32 år",174.7,173.2,180.2,183.5,194.4,198.6,208.8,228.3,231.1,230.3,239.1,247.1,252.3,255.3,267.2,276.8,281.7,291.1
"00 Riket","män","33 år",178.1,175.5,183.3,186.5,196.4,207.0,217.4,236.3,240.1,239.9,247.1,257.3,263.5,265.4,276.8,284.2,291.2,315.0
"00 Riket","män","34 år",180.8,183.1,187.0,192.8,199.4,211.6,226.7,246.2,250.9,248.3,256.4,264.2,268.8,275.0,286.1,295.0,300.2,301.1
"00 Riket","män","35 år",184.1,180.2,194.9,193.4,204.9,214.0,230.6,254.4,258.3,259.3,268.5,273.6,276.8,284.1,304.0,303.1,309.6,311.9
"00 Riket","män","36 år",193.8,185.4,192.1,201.3,208.0,220.3,232.9,259.2,265.6,266.9,276.8,281.9,285.6,289.2,302.1,309.6,317.6,326.9
"00 Riket","män","37 år",191.7,186.2,194.6,197.8,211.3,220.8,249.5,258.2,268.9,273.1,283.4,291.9,296.8,296.3,311.3,318.2,326.4,329.9
"00 Riket","män","38 år",195.3,190.6,195.2,200.4,213.3,225.7,237.8,262.2,272.6,276.6,294.6,301.3,306.3,306.4,315.3,326.3,335.0,340.4
"00 Riket","män","39 år",199.5,189.4,198.7,202.2,215.4,226.8,243.6,265.7,274.1,278.9,291.4,306.3,311.7,315.2,326.1,332.2,342.7,350.7
"00 Riket","män","40 år",216.1,192.1,199.1,203.9,217.8,229.5,246.8,272.2,276.9,282.1,293.1,307.0,318.7,322.0,334.0,345.7,348.3,352.8
"00 Riket","män","41 år",198.6,193.2,201.0,203.4,220.3,230.9,249.3,271.9,283.8,284.6,298.4,310.6,321.9,331.0,341.1,353.6,371.3,359.5
"00 Riket","män","42 år",197.3,194.2,204.9,207.3,219.0,232.9,248.0,274.1,283.4,288.9,298.5,312.3,320.3,329.6,349.0,361.0,368.6,367.3
"00 Riket","män","43 år",205.1,193.1,202.7,206.9,221.2,232.3,252.5,277.5,285.7,290.9,304.2,313.0,321.1,331.4,349.0,370.6,381.0,383.9
"00 Riket","män","44 år",202.7,195.3,201.2,207.6,217.9,233.5,252.2,278.6,288.5,292.0,305.0,315.2,323.4,330.3,347.2,371.9,384.4,387.3
"00 Riket","män","45 år",203.0,194.1,204.1,207.2,222.7,232.8,254.3,280.8,285.9,292.7,305.7,311.9,326.1,328.6,350.3,364.4,380.4,393.0
"00 Riket","män","46 år",201.3,196.3,204.5,209.9,223.8,236.3,250.8,280.3,287.0,290.0,303.9,316.7,323.6,332.8,346.9,372.5,379.4,397.7
"00 Riket","män","47 år",202.1,195.7,203.6,208.8,222.5,235.8,260.1,278.1,284.3,288.4,304.5,317.0,328.9,330.0,353.1,364.9,381.6,387.2
"00 Riket","män","48 år",205.9,194.2,207.6,209.7,220.8,236.0,255.7,280.2,283.9,289.3,301.8,316.6,326.1,339.1,350.0,368.1,399.1,395.5
"00 Riket","män","49 år",219.0,198.5,203.7,210.6,223.7,237.3,256.5,282.8,290.8,291.7,306.8,312.8,323.1,332.0,346.9,365.2,379.5,396.6
"00 Riket","män","50 år",214.3,201.9,206.0,209.0,219.1,237.2,255.2,283.4,283.7,291.9,298.7,322.3,326.6,335.3,347.6,370.2,382.9,395.0
"00 Riket","män","51 år",209.0,200.7,206.9,215.4,220.4,236.5,251.1,282.2,286.1,285.9,301.4,309.4,319.9,326.4,351.9,368.3,380.6,393.6
"00 Riket","män","52 år",207.1,201.5,209.6,214.9,221.4,237.0,253.4,282.0,284.0,288.2,300.1,311.1,317.6,324.4,342.3,382.1,381.8,394.6
"00 Riket","män","53 år",215.4,198.7,209.8,215.4,222.7,237.3,253.2,278.3,286.2,284.2,297.4,310.9,317.3,324.4,344.5,359.0,383.9,393.9
"00 Riket","män","54 år",205.6,203.9,209.2,217.4,223.2,240.7,254.8,276.0,282.8,288.6,299.2,306.4,318.0,323.0,338.8,359.4,370.3,395.6
